[(0, 0.12670023030910288), (1, 0.16606263533272306), (2, 0.01516950239491692), (3, 0.69206763196325727)]
[(0, 0.26860448174892271), (1, 0.016541764544755089), (2, 0.01667158545983911), (3, 0.69818216824648316)]
[(0, 0.43912080515940066), (1, 0.015093890390160259), (2, 0.53046828732080231), (3, 0.015317017129636757)]
[(0, 0.19104578517534915), (1, 0.47834133285016128), (2, 0.31211003245481778), (3, 0.018502849519671793)]
[(0, 0.68742880911254667), (1, 0.019833407340840763), (2, 0.020431672159440546), (3, 0.27230611138717198)]
[(0, 0.13257897315351566), (1, 0.19903377263571645), (2, 0.64847382450115154), (3, 0.019913429709616293)]
[(0, 0.86785156977295685), (1, 0.042370542783195041), (2, 0.045210813476262678), (3, 0.044567073967585503)]
[(0, 0.045688028226328593), (1, 0.04447185488192705), (2, 0.86505543556816789), (3, 0.044784681323576506)]
[(0, 0.064208077190783808), (1, 0.063952986920540647), (2, 0.80767614185900471), (3, 0.064162794029670803)]
[(0, 0.017214805175776539), (1, 0.017042170821410577), (2, 0.016948306944172608), (3, 0.94879471705864027)]
[(0, 0.23771275943622722), (1, 0.022841836691531583), (2, 0.71660128322768357), (3, 0.022844120644557687)]
[(0, 0.23811109744691447), (1, 0.63977006233049349), (2, 0.021397242327514471), (3, 0.10072159789507748)]
[(0, 0.023636759792170191), (1, 0.023401354376586875), (2, 0.024058809012904036), (3, 0.92890307681833884)]
[(0, 0.017010797990299385), (1, 0.01605488421216401), (2, 0.95083016011829469), (3, 0.016104157679241948)]
[(0, 0.91538153513961762), (1, 0.027946015971556364), (2, 0.028177451336947237), (3, 0.028494997551878842)]
[(0, 0.57611655921248228), (1, 0.032155058041060912), (2, 0.35800890487273923), (3, 0.03371947787371761)]
[(0, 0.011636981057613181), (1, 0.34214824380950082), (2, 0.6350022000185106), (3, 0.01121257511437542)]
[(0, 0.014539520447666392), (1, 0.38358473219246658), (2, 0.49297615775561998), (3, 0.10889958960424716)]
[(0, 0.01865897989310162), (1, 0.18750231083056676), (2, 0.33399464656552463), (3, 0.45984406271080708)]
[(0, 0.021223595550597756), (1, 0.93604631348053691), (2, 0.021226492538208557), (3, 0.021503598430656762)]
[(0, 0.022954031390646765), (1, 0.9312422800857747), (2, 0.022865277325908293), (3, 0.022938411197670205)]
[(0, 0.023051805629638437), (1, 0.37328696526570854), (2, 0.022782374829317529), (3, 0.58087885427533548)]
[(0, 0.27034443430416394), (1, 0.016921384093312761), (2, 0.17814869796864408), (3, 0.53458548363387925)]
[(0, 0.47385435104575113), (1, 0.023323677335089957), (2, 0.47961466155095639), (3, 0.023207310068202449)]
[(0, 0.41032311861450754), (1, 0.029057118607081309), (2, 0.5314521080746375), (3, 0.029167654703773631)]
[(0, 0.15034557347418823), (1, 0.020287815802936131), (2, 0.1297166433025618), (3, 0.69964996742031382)]
[(0, 0.052688573136250971), (1, 0.84350905899708051), (2, 0.05176313270890838), (3, 0.052039235157760044)]
[(0, 0.028421885828863864), (1, 0.028669652412810141), (2, 0.029160750125532018), (3, 0.91374771163279389)]
[(0, 0.48327719807902503), (1, 0.03691526468470447), (2, 0.44272637614771088), (3, 0.037081161088559592)]
[(0, 0.91205311437978787), (1, 0.028566188156832865), (2, 0.030484509734126048), (3, 0.028896187729253175)]
[(0, 0.017298441824640392), (1, 0.017043938540416394), (2, 0.23536775969511406), (3, 0.73028985993982909)]
[(0, 0.022382460525263877), (1, 0.4102406004626219), (2, 0.54569678928326659), (3, 0.0216801497288476)]
[(0, 0.04291543589598263), (1, 0.45513775510175442), (2, 0.45962589699766804), (3, 0.042320912004594959)]
