;ID;SCREENAME;NTWT;NRT;NMENT
;1169702816;@rtiburongsr600;0;0;0
;86320788;@rivaldogaucho;0;0;0
;1223500411;@joaquin79297521;0;0;0
;427795030;@brankho_urbina;0;0;0
;423035977;@el__quico;0;0;0
;184878343;@danii_ox;1;0;0
;1067236729;@n_raquelich;1;0;0
;150832074;@andjordi;0;0;0
;91708985;@natiihish;2;0;0
;361849544;@edjabaro;0;0;0
;151036024;@paponeitor;0;0;0
;2855590276;@panchoconp;0;0;0
;2987734421;@valefuentesdp;0;0;0
;119157928;@koni_dasilva;0;0;0
;355281789;@pedroaraya55;0;0;0
;312227748;@sebastian_gtr;0;0;0
;2287581535;@jbiieeeber;0;0;0
;69962903;@carlossapag;7;1;0
;520498577;@juezdillinguer;0;0;0
;460621978;@golosa97c;0;0;0
;435288734;@valealvarado4;0;0;0
;194134176;@qlau8;0;0;0
;2857377770;@yocompartochile;0;0;0
;1733214546;@mariela61391083;0;0;0
;4765936458;@nicole89711819;0;0;0
;367332605;@johanaarevaloco;0;0;0
;203766115;@sergio19962010;0;0;0
;889991082;@cris6435;0;0;0
;118292624;@gianinalr;0;0;0
;544834735;@mauro73133941;0;0;0
;164048580;@ricardoferron;0;0;0
;2591828292;@x3coderkarla;0;0;0
;1197107576;@fran310398;0;0;0
;160381798;@pblueofficial;0;0;0
;1090376317;@lbarbaritha;0;0;0
;3904619958;@yiyoyfz;0;0;0
;727259912;@leilayohanna;1;0;0
;594947861;@eliezersoto7;0;0;0
;2881224378;@thuboris;0;0;0
;369467622;@lizama_paula;0;0;0
;182966050;@pamelotita;0;0;0
;360552939;@nayusss;0;0;0
;70885750;@maso703;0;0;0
;456239247;@evelyruiz;0;0;0
;859155685;@alex_tlomte;0;0;0
;2781292798;@548f9e3d9df94f0;0;0;0
;254143737;@malcayagac;0;0;0
;325229715;@c_weinstein_o;0;0;0
;309199035;@ag9garrido;0;0;0
;266218807;@juan_conchag;0;0;0
;329719417;@casca_belera;4;0;0
;2853001205;@matiasrebattan;0;0;0
;148746767;@nena_fogossa;0;0;0
;272247391;@pattytoloza;0;0;0
;634304316;@lorenaecg;0;0;0
;3004208760;@edu_aravena;1;0;0
;565741961;@carlitanovoao;0;0;0
;1373265320;@mago_christophe;0;0;0
;259088254;@yoyi2011_reload;0;0;0
;259072077;@belusquarepants;0;0;0
;34796469;@tanjavy;0;0;0
;1942347985;@amandaochang;1;0;0
;282315890;@victorjilch;16;0;0
;78805930;@juanantoniop;0;0;0
;3232305321;@luuukerawr;0;0;0
;148163514;@carlapvs;5;0;0
;67999445;@vivicastrou;2;0;0
;404465740;@valpodemarron;0;0;0
;232325778;@hanibal_roman;0;0;0
;1693132164;@jotamanuels;0;0;0
;505788600;@alayneuihi;0;0;0
;965355055;@romiaguilera3;0;0;0
;343497822;@skydracl;1;0;0
;241174512;@mitzhiitaxx;0;0;0
;231885584;@aomeh;0;0;0
;476468177;@johannakat2;0;0;0
;290271716;@igaldaniels;0;0;0
;150371565;@gabrielaconchaa;0;0;0
;1162692308;@bsaavedra29;0;0;0
;159943996;@lah_shiika_star;0;0;0
;1063799172;@katrinaedu78;0;0;0
;2304616672;@abilproductions;0;0;0
;119145535;@slenderman_or;5;0;0
;121848533;@muchamechamicha;0;0;0
;388418855;@manuelfloresfic;0;0;0
;574999662;@beautifuladyd4;0;0;0
;301602043;@marvalen7;0;0;0
;256490116;@loret_aguila;0;0;0
;126393627;@sefelip;0;0;0
;1023569906;@ignacio_jimenes;0;0;0
;106235755;@kattymilo;0;0;0
;248881904;@karylove1981;0;0;0
;142786603;@jose_pizarro_;3;0;0
;240061391;@loquiny;0;0;0
;233725043;@kathitaax100pre;0;0;0
;368654750;@chipypuq;0;0;0
;2942657423;@lautiamaya__;15;0;0
;2551913938;@gabriel47608;0;0;0
;801095652;@mariotapiacares;0;0;0
;328727143;@3gonzalo;0;0;0
;1959767749;@leincheer;0;0;0
;377516387;@hasatone;0;0;0
;3359006704;@natybelen07;0;0;0
;2954937957;@thescore8787;0;0;0
;131991399;@caturrasprouse;0;0;0
;591363099;@mrebolledo78;0;0;0
;268608786;@javita_tr;0;0;0
;333112975;@andresuls;0;0;0
;78530649;@dfvp;0;0;0
;3732418217;@pamelaortiz21;0;0;0
;2774575400;@teramaps;0;0;0
;147370685;@danielhaderej;0;0;0
;103427625;@gocontreras;1;0;0
;166409139;@bellosisima;0;0;0
;2488881054;@kisawea12;0;0;0
;2571621790;@dayanayantonio;0;0;0
;239666559;@fabiansergioo;0;0;0
;104655711;@sofiitorrent;0;0;0
;138853884;@wtf_real;0;0;0
;2968322999;@ferny1052;0;0;0
;145033757;@mayiiinn;0;0;0
;174093838;@claudioargote;0;0;0
;1102966140;@mariajosoliz;0;0;0
;1671957913;@paulava29028160;0;0;0
;3064514253;@sindadm_provida;0;0;0
;285250817;@aleja123456;0;0;0
;1525751797;@stalinetelesdr1;0;0;0
;42726589;@crimewavee;0;0;0
;34287203;@solcito_ajv;0;0;0
;630558140;@lalalita99;0;0;0
;1276335468;@genesistamara22;0;0;0
;719600939;@marichubienboni;0;0;0
;172151435;@kiaritaxxx;0;0;0
;1733617466;@jorgecaiguan1;0;0;0
;961638494;@pedro38297401;0;0;0
;140222720;@valeria_robledo;0;0;0
;391355464;@juancitoandre;0;0;0
;447506112;@lirapugapaola;0;0;0
;2389979689;@asomedosorno;0;0;0
;471632090;@jeshu83;0;0;0
;36285728;@victoravalosa;1;0;0
;153788913;@tag_tnr;0;0;0
;366885402;@jonito_castro;0;0;0
;1228888220;@maiiswagy;0;0;0
;363392121;@dreyfigueroa;0;0;0
;271048901;@nikolecabrera;0;0;0
;709290530;@capitan0535;0;0;0
;195240803;@liindahh_valeeh;0;0;0
;290099550;@genesisnoemii;0;0;0
;285824848;@soledadmarinv;0;0;0
;1592481787;@belenmiku1;1;0;0
;1167574087;@patricia_tabilo;0;0;0
;2155898136;@swaggylatingirl;0;0;0
;2474974676;@perfumseva;0;0;0
;278878228;@softrodriguez;0;0;0
;368285694;@jwurbina;0;0;0
;1151649720;@tomybiebsswag;0;0;0
;2211548526;@ryansitocuevas;0;0;0
;115148016;@dionuriah;0;0;0
;184820508;@elcy_j;0;0;0
;178144818;@massieldegaga;0;0;0
;392308952;@escorpionavalpo;0;0;0
;2524316969;@mikyfromtazmily;1;0;0
;1050495926;@jadrankapaic;0;0;0
;120585399;@titha_dance;0;0;0
;319343979;@joickstylinson;3;0;0
;1022725057;@butthead250;0;0;0
;1071912355;@breakfixclub;0;0;0
;124618635;@sandritaheinz;0;0;0
;172044867;@docuportales;0;0;0
;433641302;@katherinelayan1;0;0;0
;540438748;@roodrigo28;0;0;0
;2834560612;@vale_pizzadog;1;0;0
;1114606146;@latonegroup;0;0;0
;1586726677;@pamelitahomail;0;0;0
;1130097098;@_camicamila;0;0;0
;98518940;@pauavila;0;0;0
;227477913;@spinbikenergy;0;0;0
;4324732539;@ecaceresv;0;0;0
;27650520;@franchitop;0;0;0
;454066688;@luis_oyarzun_s;0;0;0
;2309572789;@mascaraviva;0;0;0
;209256811;@valeska_rubi;0;0;0
;158146066;@jozestyle;0;0;0
